datetime,direction,score,pos_size,tp_pct,sl_pct,result,pnl,capital_after,conf_4h,conf_15m,atr_pct
2025-02-27 00:15:00,SHORT,64.63,19.85,1.8455,1.2303,LOSS,-0.2842,992.21,0.5969,0.5755,0.8202
2025-02-27 01:00:00,SHORT,64.29,19.84,1.7047,1.1364,LOSS,-0.2654,991.95,0.5969,0.5624,0.7576
2025-02-27 01:45:00,SHORT,64.14,19.84,1.6459,1.0973,LOSS,-0.2576,991.69,0.5969,0.5615,0.7315
2025-02-27 02:30:00,SHORT,52.46,19.83,1.546,1.0307,LOSS,-0.2443,991.44,0.5969,0.5353,0.6871
2025-02-27 05:30:00,SHORT,53.54,19.83,1.2839,0.856,LOSS,-0.2096,991.23,0.5882,0.5267,0.5706
2025-02-27 07:15:00,SHORT,60.32,19.82,1.1598,0.7732,LOSS,-0.1931,991.04,0.5882,0.5856,0.5154
2025-02-27 08:00:00,SHORT,58.5,19.82,1.0749,0.7166,LOSS,-0.1818,990.86,0.5806,0.5865,0.4777
2025-02-27 08:45:00,SHORT,58.33,19.82,1.0075,0.6717,LOSS,-0.1729,990.69,0.5806,0.5541,0.4478
2025-02-27 09:30:00,SHORT,51.81,19.81,0.9566,0.6377,LOSS,-0.1661,990.52,0.5806,0.5334,0.4251
2025-02-27 10:15:00,SHORT,51.85,19.81,0.9178,0.6119,LOSS,-0.161,990.36,0.5806,0.5407,0.4079
2025-02-28 00:00:00,SHORT,63.24,19.81,1.1848,0.7898,WIN,0.1953,990.55,0.6079,0.5382,0.5266
2025-02-28 01:45:00,SHORT,50.37,19.81,1.7197,1.1465,LOSS,-0.267,990.29,0.6079,0.5248,0.7643
2025-02-28 02:30:00,SHORT,52.02,19.81,2.3154,1.5436,LOSS,-0.3456,989.94,0.6079,0.5484,1.0291
2025-02-28 03:15:00,SHORT,66.13,19.8,2.3553,1.5702,WIN,0.4272,990.37,0.6079,0.5328,1.0468
2025-02-28 17:45:00,SHORT,50.97,19.81,1.8363,1.2242,LOSS,-0.2823,990.09,0.5955,0.5468,0.8161
2025-03-09 20:15:00,SHORT,60.09,19.8,1.3741,0.916,WIN,0.2328,990.32,0.5782,0.5401,0.6107
2025-03-09 21:00:00,SHORT,54.2,19.81,1.3493,0.8995,WIN,0.2279,990.55,0.5782,0.5367,0.5997
2025-03-11 08:00:00,SHORT,64.52,19.81,1.1208,0.7472,LOSS,-0.1878,990.36,0.6282,0.5938,0.4981
2025-03-11 08:45:00,SHORT,57.94,19.81,1.0886,0.7257,LOSS,-0.1835,990.18,0.6282,0.5667,0.4838
2025-03-11 09:45:00,SHORT,55.3,19.8,1.0604,0.707,LOSS,-0.1797,990.0,0.6282,0.5526,0.4713
2025-04-06 17:45:00,SHORT,51.21,19.8,0.8458,0.5639,WIN,0.128,990.12,0.5588,0.5883,0.3759
2025-04-06 18:30:00,SHORT,51.96,19.8,1.148,0.7653,LOSS,-0.1913,989.93,0.5588,0.5521,0.5102
2025-04-06 19:15:00,SHORT,52.29,19.8,1.2847,0.8564,WIN,0.215,990.15,0.5588,0.5456,0.571
2025-04-07 06:30:00,SHORT,53.71,19.8,1.9111,1.2741,LOSS,-0.2922,989.86,0.6448,0.5561,0.8494
2025-04-07 07:15:00,SHORT,70.84,19.8,1.9189,1.2793,LOSS,-0.2931,989.56,0.6448,0.5769,0.8529
2025-04-07 08:30:00,SHORT,63.26,19.79,1.9705,1.3137,LOSS,-0.2998,989.26,0.6019,0.5668,0.8758
2025-04-07 09:15:00,SHORT,63.09,19.79,1.9023,1.2682,LOSS,-0.2907,988.97,0.6019,0.6216,0.8454
2025-04-07 10:00:00,SHORT,63.09,19.78,1.9039,1.2693,LOSS,-0.2909,988.68,0.6019,0.5728,0.8462
2025-04-07 11:45:00,SHORT,57.75,19.77,1.7098,1.1398,LOSS,-0.2652,988.42,0.6019,0.5494,0.7599
2025-04-21 00:15:00,LONG,58.0,19.77,0.6103,0.4069,WIN,0.081,988.5,0.6989,0.5884,0.2713
2025-04-21 01:00:00,LONG,56.38,19.77,0.7804,0.5203,WIN,0.1146,988.61,0.6989,0.5825,0.3468
2025-04-21 02:00:00,LONG,63.4,19.77,0.7866,0.5244,LOSS,-0.1431,988.47,0.6989,0.5919,0.3496
2025-04-21 02:45:00,LONG,63.44,19.77,0.8044,0.5362,LOSS,-0.1454,988.32,0.6989,0.6131,0.3575
2025-04-21 04:00:00,LONG,52.92,19.77,0.7083,0.4722,LOSS,-0.1328,988.19,0.7355,0.5488,0.3148
2025-04-21 04:45:00,LONG,53.26,19.76,0.6658,0.4439,LOSS,-0.1272,988.06,0.7355,0.545,0.2959
2025-04-21 05:30:00,LONG,58.14,19.76,0.6029,0.4019,LOSS,-0.1189,987.94,0.7355,0.5389,0.2679
2025-04-22 13:00:00,LONG,53.37,19.76,0.6688,0.4459,WIN,0.0925,988.04,0.6497,0.5726,0.2973
2025-04-22 13:45:00,LONG,62.94,19.76,0.8361,0.5574,WIN,0.1255,988.16,0.6497,0.6054,0.3716
2025-04-22 14:30:00,LONG,63.15,19.76,0.9212,0.6142,WIN,0.1424,988.3,0.6497,0.5917,0.4094
2025-04-22 20:00:00,LONG,53.62,19.77,0.8579,0.572,WIN,0.1299,988.43,0.7795,0.5207,0.3813
2025-04-22 20:45:00,LONG,63.26,19.77,0.7648,0.5098,WIN,0.1115,988.55,0.7795,0.5307,0.3399
2025-04-22 21:45:00,LONG,83.04,19.77,1.1742,0.7828,WIN,0.1924,988.74,0.7795,0.5751,0.5219
2025-04-22 23:00:00,LONG,64.47,19.77,1.1438,0.7625,WIN,0.1864,988.92,0.7795,0.5395,0.5084
2025-04-22 23:45:00,LONG,82.99,19.78,1.1556,0.7704,LOSS,-0.1918,988.73,0.7795,0.564,0.5136
2025-04-23 01:45:00,LONG,57.53,19.77,1.1253,0.7502,WIN,0.1828,988.92,0.6677,0.5391,0.5001
2025-04-23 02:30:00,LONG,50.57,19.78,1.0448,0.6965,WIN,0.1669,989.08,0.6677,0.5299,0.4643
2025-04-23 03:15:00,LONG,51.22,19.78,0.9324,0.6216,WIN,0.1447,989.23,0.6677,0.537,0.4144
2025-04-23 04:00:00,LONG,53.26,19.78,0.8578,0.5719,WIN,0.13,989.36,0.781,0.5233,0.3813
2025-04-23 07:00:00,LONG,50.73,19.79,0.7129,0.4753,WIN,0.1013,989.46,0.781,0.5315,0.3168
2025-04-23 10:00:00,LONG,57.58,19.79,0.7313,0.4875,WIN,0.105,989.56,0.6946,0.5524,0.325
2025-04-23 10:45:00,LONG,63.07,19.79,0.6944,0.4629,WIN,0.0977,989.66,0.6946,0.56,0.3086
2025-04-23 11:30:00,LONG,66.31,19.79,0.6377,0.4251,WIN,0.0865,989.75,0.6946,0.5762,0.2834
2025-04-23 12:15:00,LONG,54.55,24.74,0.6349,0.4233,WIN,0.1074,989.86,0.6642,0.5853,0.2822
2025-04-23 15:00:00,LONG,61.86,33.0,1.0404,0.6936,LOSS,-0.2946,989.56,0.6642,0.5596,0.4624
2025-04-23 15:45:00,LONG,52.23,32.99,1.1784,0.7856,LOSS,-0.3248,989.24,0.6642,0.5271,0.5237
2025-04-24 03:45:00,LONG,51.06,32.97,0.6783,0.4522,LOSS,-0.2149,989.02,0.58,0.5663,0.3015
2025-04-24 04:30:00,LONG,52.98,32.97,0.7271,0.4848,LOSS,-0.2256,988.8,0.5856,0.5708,0.3232
2025-04-24 06:00:00,LONG,51.32,32.96,0.6469,0.4312,LOSS,-0.2079,988.59,0.5856,0.5781,0.2875
2025-05-08 08:30:00,LONG,56.6,32.95,0.5223,0.3482,LOSS,-0.1805,988.41,0.5861,0.6015,0.2321
2025-05-08 09:15:00,LONG,56.52,32.95,0.4868,0.3245,LOSS,-0.1727,988.23,0.5861,0.6308,0.2163
2025-05-08 15:30:00,LONG,65.55,32.94,0.853,0.5686,LOSS,-0.253,987.98,0.6386,0.5904,0.3791
2025-05-08 20:30:00,LONG,50.51,24.7,0.8292,0.5528,WIN,0.1552,988.14,0.6582,0.5458,0.3685
2025-05-08 21:15:00,LONG,71.84,32.94,1.114,0.7427,LOSS,-0.3102,987.83,0.6582,0.6003,0.4951
2025-05-09 00:45:00,LONG,53.37,32.93,0.9471,0.6314,WIN,0.2457,988.07,0.6606,0.5178,0.4209
2025-05-09 02:15:00,LONG,51.01,32.94,0.8353,0.5569,WIN,0.209,988.28,0.6606,0.5317,0.3712
2025-05-09 03:00:00,LONG,55.02,41.18,0.7768,0.5178,WIN,0.2372,988.52,0.6606,0.5432,0.3452
2025-05-09 03:45:00,LONG,63.02,41.19,0.7063,0.4708,WIN,0.2082,988.73,0.6606,0.5595,0.3139
2025-05-09 04:30:00,LONG,59.25,41.2,0.6453,0.4302,WIN,0.1832,988.91,0.6133,0.5856,0.2868
2025-05-09 05:15:00,LONG,54.25,49.45,0.6021,0.4014,WIN,0.1985,989.11,0.6133,0.5883,0.2676
