datetime,direction,score,pos_size,tp_pct,sl_pct,result,pnl,capital_after,conf_4h,conf_15m,atr_pct
2024-11-12 01:45:00,LONG,57.97,75.35,1.9981,1.3321,LOSS,-1.1535,1003.57,0.5611,0.5697,0.8881
2024-11-12 02:30:00,LONG,65.11,66.9,1.9801,1.3201,WIN,1.1897,1004.76,0.5611,0.585,0.8801
2024-11-12 03:15:00,LONG,64.83,75.36,1.8696,1.2464,WIN,1.2567,1006.02,0.5611,0.5872,0.8309
2024-11-12 09:15:00,LONG,55.31,75.45,1.3849,0.9233,LOSS,-0.8468,1005.17,0.5719,0.5544,0.6155
2024-11-12 10:00:00,LONG,63.54,75.39,1.505,1.0034,LOSS,-0.9064,1004.26,0.5719,0.5684,0.6689
2024-11-12 12:45:00,LONG,59.03,75.32,1.9702,1.3135,LOSS,-1.139,1003.13,0.6666,0.5101,0.8757
2024-11-12 13:30:00,LONG,72.65,75.23,1.9909,1.3272,WIN,1.3459,1004.47,0.6666,0.5467,0.8848
2024-11-12 14:15:00,LONG,59.65,83.71,2.0013,1.3342,WIN,1.5061,1005.98,0.6666,0.5174,0.8895
2024-11-12 21:45:00,LONG,50.82,83.83,1.6519,1.1013,LOSS,-1.0899,1004.89,0.5552,0.5364,0.7342
2024-11-12 22:30:00,LONG,55.33,75.37,1.6085,1.0724,LOSS,-0.9581,1003.93,0.5552,0.5502,0.7149
2024-11-12 23:45:00,LONG,50.48,66.93,1.5287,1.0191,LOSS,-0.8153,1003.11,0.5552,0.5439,0.6794
2024-11-13 00:30:00,LONG,65.71,66.87,1.4823,0.9882,LOSS,-0.794,1002.32,0.6389,0.5595,0.6588
2024-11-13 01:30:00,LONG,50.83,58.47,1.502,1.0013,LOSS,-0.7018,1001.62,0.6389,0.5439,0.6676
2024-11-13 03:15:00,LONG,63.28,58.43,1.5014,1.0009,LOSS,-0.7011,1000.92,0.6389,0.5533,0.6673
2024-11-13 04:00:00,LONG,63.85,50.05,1.4419,0.9613,LOSS,-0.5807,1000.34,0.6197,0.5558,0.6409
2024-11-13 04:45:00,LONG,63.67,50.02,1.5566,1.0378,LOSS,-0.6186,999.72,0.6197,0.5531,0.6918
2024-11-13 05:30:00,LONG,60.06,49.99,1.4695,0.9797,WIN,0.6338,1000.35,0.6197,0.5555,0.6531
2024-11-13 06:15:00,LONG,64.37,50.02,1.4302,0.9535,WIN,0.6146,1000.97,0.6197,0.5573,0.6356
2024-11-13 07:00:00,LONG,60.03,50.05,1.3753,0.9169,WIN,0.5875,1001.55,0.6197,0.5491,0.6113
2024-11-13 14:00:00,LONG,52.78,50.08,1.2515,0.8344,WIN,0.526,1002.08,0.639,0.529,0.5562
2024-11-13 14:45:00,LONG,73.38,50.1,1.5432,1.0288,LOSS,-0.6152,1001.46,0.639,0.6052,0.6859
2024-11-13 15:30:00,LONG,73.7,50.07,1.6696,1.1131,LOSS,-0.6569,1000.81,0.639,0.6017,0.7421
2024-11-14 00:30:00,LONG,50.1,50.04,1.7086,1.1391,WIN,0.7541,1001.56,0.6063,0.5233,0.7594
2024-11-14 01:15:00,LONG,51.71,58.42,1.6511,1.1007,WIN,0.8468,1002.41,0.6063,0.53,0.7338
2024-11-14 02:30:00,LONG,52.54,66.83,1.5557,1.0371,WIN,0.9049,1003.31,0.6063,0.5423,0.6914
2024-11-14 03:15:00,LONG,53.73,75.25,1.4974,0.9982,WIN,0.9751,1004.29,0.6063,0.5423,0.6655
2024-11-14 12:00:00,LONG,51.03,83.69,1.2273,0.8182,LOSS,-0.8514,1003.44,0.7926,0.496,0.5455
2024-11-14 12:45:00,LONG,51.42,83.62,1.156,0.7707,LOSS,-0.811,1002.63,0.7926,0.5028,0.5138
2024-11-14 13:30:00,LONG,55.55,83.55,1.1402,0.7602,LOSS,-0.8016,1001.82,0.7926,0.5091,0.5068
2024-11-14 14:15:00,LONG,53.58,83.49,1.1548,0.7699,LOSS,-0.8091,1001.02,0.7926,0.509,0.5132
2024-11-14 15:00:00,LONG,90.01,75.08,1.7122,1.1415,LOSS,-1.0063,1000.01,0.7926,0.5624,0.761
2024-11-14 16:45:00,LONG,60.11,66.67,1.8838,1.2559,LOSS,-0.9698,999.04,0.7119,0.5136,0.8372
2024-11-14 17:30:00,LONG,65.59,66.6,1.7452,1.1635,LOSS,-0.9073,998.13,0.7119,0.54,0.7756
2024-11-14 18:15:00,LONG,70.0,58.22,1.6561,1.1041,LOSS,-0.7586,997.37,0.7119,0.5383,0.736
2024-11-14 19:00:00,LONG,65.56,49.87,1.539,1.026,LOSS,-0.6109,996.76,0.7119,0.5194,0.684
2024-11-14 19:45:00,LONG,65.76,41.53,1.4248,0.9499,LOSS,-0.4772,996.29,0.7119,0.5175,0.6333
2024-11-14 21:30:00,LONG,59.88,33.21,1.6288,1.0859,LOSS,-0.4267,995.86,0.8017,0.5157,0.7239
2024-11-14 22:15:00,LONG,58.63,24.9,1.5943,1.0629,LOSS,-0.3141,995.54,0.8017,0.5157,0.7086
2024-11-14 23:00:00,LONG,58.96,19.91,1.6726,1.1151,WIN,0.2929,995.84,0.8017,0.5108,0.7434
2024-11-14 23:45:00,LONG,60.64,19.92,1.6474,1.0983,WIN,0.288,996.13,0.8017,0.5169,0.7322
2024-11-15 01:15:00,LONG,51.98,19.92,1.5563,1.0375,WIN,0.2699,996.4,0.7741,0.5006,0.6917
