datetime,direction,score,pos_size,tp_pct,sl_pct,rr_actual,result,pnl,capital_after,conf_4h,conf_15m_dir,conf_15m_opp,atr_15m,atr_4h_used,macro_ema,trade_pct
2024-10-30 15:00:00,LONG,64.3,31.26,2.3605,1.1802,2.0,WIN,0.6747,1001.12,0.6761,0.4337,0.2956,0.4027,1.1802,9.3791,0.0313
2024-10-31 05:30:00,LONG,64.58,48.13,2.2272,1.1136,2.0,WIN,0.9746,1002.1,0.7048,0.4522,0.3237,0.209,1.1136,9.5051,0.0481
2024-11-06 02:15:00,LONG,73.64,62.63,3.6382,1.8191,2.0,WIN,2.1511,1004.25,0.6974,0.498,0.2813,0.6613,1.8191,10.8464,0.0625
2024-11-06 03:15:00,LONG,74.7,75.32,3.6382,1.8191,2.0,WIN,2.5868,1006.84,0.6974,0.498,0.2813,0.8514,1.8191,10.8464,0.075
2024-11-06 08:00:00,LONG,60.76,86.52,3.9688,1.9844,2.0,WIN,3.2575,1010.09,0.5912,0.5556,0.2813,0.9173,1.9844,10.5121,0.0859
2024-11-06 09:00:00,LONG,60.4,96.55,3.9688,1.9844,2.0,WIN,3.6351,1013.73,0.5912,0.498,0.2813,0.8527,1.9844,10.5121,0.0956
2024-11-11 05:15:00,LONG,61.09,105.6,3.1462,1.5731,2.0,WIN,3.1077,1016.84,0.6036,0.4275,0.2956,0.4783,1.5731,16.3475,0.1042
2024-11-11 06:15:00,LONG,66.0,113.73,3.1462,1.5731,2.0,WIN,3.347,1020.18,0.6036,0.4337,0.2813,0.4917,1.5731,16.3475,0.1118
2024-11-11 07:30:00,LONG,61.38,121.15,3.1462,1.5731,2.0,WIN,3.5654,1023.75,0.6036,0.4294,0.2956,0.4372,1.5731,16.3475,0.1188
2024-11-11 13:30:00,LONG,60.2,127.97,3.3082,1.6541,2.0,WIN,3.9733,1027.72,0.5954,0.4294,0.2956,0.4163,1.6541,20.123,0.125
2024-11-11 14:30:00,LONG,61.69,134.3,3.3082,1.6541,2.0,WIN,4.17,1031.89,0.5954,0.4337,0.2956,0.4814,1.6541,20.123,0.1307
2024-11-11 15:30:00,LONG,65.39,140.2,3.3082,1.6541,2.0,WIN,4.3532,1036.24,0.5954,0.498,0.2813,0.575,1.6541,20.123,0.1359
2024-11-11 20:00:00,LONG,63.67,145.72,3.6871,1.8436,2.0,WIN,5.0761,1041.32,0.5759,0.5678,0.2813,0.7209,1.8436,26.0592,0.1406
2024-11-11 21:00:00,LONG,63.65,150.99,3.6871,1.8436,2.0,WIN,5.2597,1046.58,0.5759,0.498,0.2813,0.717,1.8436,26.0592,0.145
2024-11-11 22:00:00,LONG,63.79,155.98,3.6871,1.8436,2.0,LOSS,-3.1847,1043.4,0.5759,0.498,0.2813,0.7435,1.8436,26.0592,0.149
2024-11-11 23:45:00,LONG,64.41,144.92,3.6871,1.8436,2.0,LOSS,-2.9588,1040.44,0.5759,0.4522,0.2956,0.8553,1.8436,26.0592,0.1389
2024-11-12 09:15:00,LONG,62.56,134.7,4.4338,2.2169,2.0,LOSS,-3.2525,1037.18,0.5719,0.498,0.2813,0.6155,2.2169,23.0199,0.1295
2024-11-12 10:15:00,LONG,62.95,125.18,4.4338,2.2169,2.0,LOSS,-3.0226,1034.16,0.5719,0.4978,0.2813,0.6861,2.2169,23.0199,0.1207
2024-11-12 13:30:00,LONG,76.41,116.34,4.6017,2.3009,2.0,WIN,5.1157,1039.28,0.6666,0.498,0.2813,0.8848,2.3009,22.0104,0.1125
2024-11-12 14:30:00,LONG,60.53,121.53,4.6017,2.3009,2.0,WIN,5.3437,1044.62,0.6666,0.3854,0.2956,0.917,2.3009,22.0104,0.1169
2024-11-13 00:00:00,LONG,71.61,126.5,4.8691,2.4346,2.0,LOSS,-3.3296,1041.29,0.6389,0.4337,0.2818,0.6719,2.4346,21.8619,0.1211
2024-11-13 01:00:00,LONG,71.53,118.33,4.8691,2.4346,2.0,LOSS,-3.1145,1038.18,0.6389,0.498,0.2956,0.6573,2.4346,21.8619,0.1136
2024-11-13 02:00:00,LONG,68.21,110.69,4.8691,2.4346,2.0,LOSS,-2.9134,1035.26,0.6389,0.4337,0.2956,0.6319,2.4346,21.8619,0.1066
2024-11-13 03:00:00,LONG,68.24,103.53,4.8691,2.4346,2.0,LOSS,-2.7249,1032.54,0.6389,0.4337,0.2956,0.6374,2.4346,21.8619,0.1
2024-11-13 06:15:00,LONG,68.9,96.8,4.7658,2.3829,2.0,WIN,4.4151,1036.95,0.6197,0.498,0.2813,0.6356,2.3829,21.9007,0.0938
2024-11-13 07:15:00,LONG,68.7,101.59,4.7658,2.3829,2.0,WIN,4.6337,1041.59,0.6197,0.498,0.2813,0.5993,2.3829,21.9007,0.098
